,Time,INIT_ERAB_SR
475,2022/06/20 19:00,99.89
476,2022/06/20 20:00,99.83
477,2022/06/20 21:00,99.91
478,2022/06/20 22:00,99.93
479,2022/06/20 23:00,99.92
480,2022/06/21 00:00,99.95
481,2022/06/21 01:00,99.93
482,2022/06/21 02:00,99.95
483,2022/06/21 03:00,99.96
484,2022/06/21 04:00,99.95
485,2022/06/21 05:00,99.95
486,2022/06/21 06:00,99.87
487,2022/06/21 07:00,99.92
488,2022/06/21 08:00,99.94
489,2022/06/21 09:00,99.9
490,2022/06/21 10:00,99.91
491,2022/06/21 11:00,99.92
492,2022/06/21 12:00,99.92
493,2022/06/21 13:00,99.89
494,2022/06/21 14:00,99.89
495,2022/06/21 15:00,99.92
496,2022/06/21 16:00,99.92
497,2022/06/21 17:00,99.9
498,2022/06/21 18:00,99.82
499,2022/06/21 19:00,99.78
500,2022/06/21 20:00,99.8
501,2022/06/21 21:00,99.87
502,2022/06/21 22:00,99.94
503,2022/06/21 23:00,99.94
504,2022/06/22 00:00,99.96
505,2022/06/22 01:00,99.95
506,2022/06/22 02:00,99.96
507,2022/06/22 03:00,99.96
508,2022/06/22 04:00,99.96
509,2022/06/22 05:00,99.95
510,2022/06/22 06:00,99.63
511,2022/06/22 07:00,99.84
512,2022/06/22 08:00,99.92
513,2022/06/22 09:00,99.9
514,2022/06/22 10:00,99.89
515,2022/06/22 11:00,99.83
516,2022/06/22 12:00,99.87
517,2022/06/22 13:00,99.87
518,2022/06/22 14:00,99.84
519,2022/06/22 15:00,99.86
520,2022/06/22 16:00,99.92
521,2022/06/22 17:00,99.84
522,2022/06/22 18:00,99.79
523,2022/06/22 19:00,99.87
524,2022/06/22 20:00,99.59
525,2022/06/22 21:00,99.72
526,2022/06/22 22:00,99.8
527,2022/06/22 23:00,99.88
528,2022/06/23 00:00,99.9
529,2022/06/23 01:00,99.94
530,2022/06/23 02:00,99.91
531,2022/06/23 03:00,99.95
532,2022/06/23 04:00,99.79
533,2022/06/23 05:00,99.79
534,2022/06/23 06:00,99.84
535,2022/06/23 07:00,99.91
536,2022/06/23 08:00,99.92
537,2022/06/23 09:00,99.91
538,2022/06/23 10:00,99.87
539,2022/06/23 11:00,99.91
540,2022/06/23 12:00,99.89
541,2022/06/23 13:00,99.9
542,2022/06/23 14:00,99.89
543,2022/06/23 15:00,99.87
544,2022/06/23 16:00,99.87
545,2022/06/23 17:00,99.7
546,2022/06/23 18:00,99.87
547,2022/06/23 19:00,99.87
548,2022/06/23 20:00,99.79
549,2022/06/23 21:00,99.83
550,2022/06/23 22:00,99.86
551,2022/06/23 23:00,99.73
552,2022/06/24 00:00,99.76
553,2022/06/24 01:00,99.63
554,2022/06/24 02:00,99.77
555,2022/06/24 03:00,99.69
556,2022/06/24 04:00,99.35
557,2022/06/24 05:00,99.61
558,2022/06/24 06:00,99.76
559,2022/06/24 07:00,99.88
560,2022/06/24 08:00,99.92
561,2022/06/24 09:00,99.92
562,2022/06/24 10:00,99.9
563,2022/06/24 11:00,99.91
564,2022/06/24 12:00,99.87
565,2022/06/24 13:00,99.87
566,2022/06/24 14:00,99.84
567,2022/06/24 15:00,99.9
568,2022/06/24 16:00,99.9
569,2022/06/24 17:00,99.89
570,2022/06/24 18:00,99.9
571,2022/06/24 19:00,99.68
572,2022/06/24 20:00,99.72
573,2022/06/24 21:00,99.73
574,2022/06/24 22:00,99.51
575,2022/06/24 23:00,99.91
576,2022/06/25 00:00,99.92
577,2022/06/25 01:00,99.9
578,2022/06/25 02:00,99.88
579,2022/06/25 03:00,99.9
580,2022/06/25 04:00,99.56
581,2022/06/25 05:00,99.74
582,2022/06/25 06:00,99.45
583,2022/06/25 07:00,99.72
584,2022/06/25 08:00,99.88
585,2022/06/25 09:00,99.81
586,2022/06/25 10:00,99.83
587,2022/06/25 11:00,99.81
588,2022/06/25 12:00,99.83
589,2022/06/25 13:00,99.83
590,2022/06/25 14:00,99.78
591,2022/06/25 15:00,99.69
592,2022/06/25 16:00,99.82
593,2022/06/25 17:00,99.89
594,2022/06/25 18:00,99.85
595,2022/06/25 19:00,99.71
596,2022/06/25 20:00,99.64
597,2022/06/25 21:00,99.72
598,2022/06/25 22:00,99.8
599,2022/06/25 23:00,99.72
600,2022/06/26 00:00,99.52
601,2022/06/26 01:00,99.74
602,2022/06/26 02:00,99.39
603,2022/06/26 03:00,99.68
604,2022/06/26 04:00,99.92
605,2022/06/26 05:00,99.78
606,2022/06/26 06:00,99.6
607,2022/06/26 07:00,99.84
608,2022/06/26 08:00,99.82
609,2022/06/26 09:00,99.86
610,2022/06/26 10:00,99.91
611,2022/06/26 11:00,99.57
612,2022/06/26 12:00,99.32
613,2022/06/26 13:00,99.67
614,2022/06/26 14:00,99.89
615,2022/06/26 15:00,99.81
616,2022/06/26 16:00,99.93
617,2022/06/26 17:00,99.71
618,2022/06/26 18:00,99.59
619,2022/06/26 19:00,99.77
620,2022/06/26 20:00,99.82
621,2022/06/26 21:00,99.81
622,2022/06/26 22:00,99.89
